Aggregation Strategy,NCCL Algo,NCLL Proto,Multiple CUDA Streams,Contiguous Memory,Average Time (s),Theoretical Throughput (Gb/s),Real Throughput (Gb/s),Max GPU RAM Allocated (GB)
layer_by_layer_optimized,tree,LL,True,False,1.6768273580043267,115.46990456049888,114.93507010845342,16.060523008
layer_by_layer_optimized,tree,LL,True,True,1.6755789606831968,115.28737887064878,115.02070297744623,16.060523008
layer_by_layer_optimized,tree,LL128,False,False,1.751861917010198,109.59395413475849,110.01224929925688,16.060523008
layer_by_layer_optimized,tree,LL128,False,True,1.8346296319893252,112.08609559555944,105.04914266702598,16.060523008
layer_by_layer_optimized,tree,LL128,True,False,1.6594576850378264,116.18770179786411,116.13810444802448,16.060523008
layer_by_layer_optimized,tree,LL128,True,True,1.6744203506968915,115.53162469996387,115.10029119736127,16.060523008
layer_by_layer_optimized,collnet,SIMPLE,False,False,1.7523898220000167,109.89348192773076,109.97910826258963,16.060523008
layer_by_layer_optimized,collnet,SIMPLE,False,True,1.766389559643964,110.64274867895706,109.1074553174138,16.060523008
layer_by_layer_optimized,collnet,SIMPLE,True,False,1.6618984883340697,115.93037048836281,115.96753430180553,16.060523008
layer_by_layer_optimized,collnet,SIMPLE,True,True,1.6858882100010912,114.240947086351,114.31734845092443,16.060523008
layer_by_layer_optimized,collnet,LL,False,False,1.8259980680110555,111.58034481027319,105.54571405539578,16.060523008
layer_by_layer_optimized,collnet,LL,False,True,1.7592631423225005,110.59965928604126,109.5494274367457,16.060523008
layer_by_layer_optimized,collnet,LL,True,False,1.6673057517036796,116.29339823400032,115.59143831601925,16.060523008
layer_by_layer_optimized,collnet,LL,True,True,1.6631237370117258,114.97680737375396,115.88209924673883,16.060523008
layer_by_layer_optimized,collnet,LL128,False,False,1.7331362976692617,110.91147808920314,111.2008733595737,16.060523008
layer_by_layer_optimized,collnet,LL128,False,True,1.7430381603383769,104.84404728025504,110.56916270529955,16.060523008
layer_by_layer_optimized,collnet,LL128,True,False,1.6598802976465474,115.70716280533728,116.10853519091461,16.060523008
layer_by_layer_optimized,collnet,LL128,True,True,1.6636412697068106,115.1369001477638,115.84605014395011,16.060523008
layer_by_layer_optimized,collnetchain,SIMPLE,False,False,1.7777535586307447,106.9315224844455,108.41000374677408,16.060523008
layer_by_layer_optimized,collnetchain,SIMPLE,False,True,1.741940200328827,110.75628116440315,110.63885540710235,16.060523008
layer_by_layer_optimized,collnetchain,SIMPLE,True,False,1.661717833019793,114.5652190847699,115.980141828149,16.060523008
layer_by_layer_optimized,collnetchain,SIMPLE,True,True,1.6676045689576615,116.26248711608409,115.5707255422452,16.060523008
layer_by_layer_optimized,collnetchain,LL,False,False,1.8392907593709726,111.24341789513063,104.78292731591351,16.060523008
layer_by_layer_optimized,collnetchain,LL,False,True,1.7243379193823785,112.31161606298969,111.76827220793851,16.060523008
layer_by_layer_optimized,collnetchain,LL,True,False,1.6627590296169121,115.7149984183607,115.90751667510281,16.060523008
layer_by_layer_optimized,collnetchain,LL,True,True,1.6709688842917483,115.66097521092705,115.33803637144827,16.060523008
layer_by_layer_optimized,collnetchain,LL128,False,False,1.694028823946913,113.22453184374997,113.76799923803398,16.060523008
layer_by_layer_optimized,collnetchain,LL128,False,True,1.732621685679381,111.09426302638128,111.23390151753168,16.060523008
layer_by_layer_optimized,collnetchain,LL128,True,False,1.6617306353679548,113.57160598656058,115.97924829093908,16.060523008
layer_by_layer_optimized,collnetchain,LL128,True,True,1.6517363449869056,116.9267846218032,116.68101300606051,16.060523008
layer_by_layer_optimized,collnetdirect,SIMPLE,False,False,1.715601843316108,114.51394865396799,112.33741133052004,16.060523008
layer_by_layer_optimized,collnetdirect,SIMPLE,False,True,1.7188467159867287,114.82139533504596,112.12533855374225,16.060523008
layer_by_layer_optimized,collnetdirect,SIMPLE,True,False,1.6679133990158637,116.52342009646384,115.54932652121884,16.060523008
layer_by_layer_optimized,collnetdirect,SIMPLE,True,True,1.6827031129505485,115.99623723715783,114.53373353191382,16.060523008
layer_by_layer_optimized,collnetdirect,LL,False,False,1.7241944956282775,111.1158212410397,111.77756943352996,16.060523008
layer_by_layer_optimized,collnetdirect,LL,False,True,1.711217195649321,113.100432866711,112.62525320689642,16.060523008
layer_by_layer_optimized,collnetdirect,LL,True,False,1.6559891589762021,115.5591416141579,116.38135968906403,16.060523008
layer_by_layer_optimized,collnetdirect,LL,True,True,1.6555552400338154,116.3909166168237,116.41186309679614,16.060523008
layer_by_layer_optimized,collnetdirect,LL128,False,False,1.6848616450248908,112.4890992480424,114.38700057128598,16.060523008
layer_by_layer_optimized,collnetdirect,LL128,False,True,1.6968921219619613,108.29525585959766,113.57602964716946,16.060523008
layer_by_layer_optimized,collnetdirect,LL128,True,False,1.6700262452941388,116.36490034358336,115.40313842077103,16.060523008
layer_by_layer_optimized,collnetdirect,LL128,True,True,1.6568711513342957,116.56759716674216,116.31940709257658,16.060523008
layer_by_layer_optimized,nvls,SIMPLE,False,False,1.7159076060634106,114.5707298161868,112.31739358866032,16.060523008
layer_by_layer_optimized,nvls,SIMPLE,False,True,1.839392273997267,114.18185459304232,104.77714442780484,16.060523008
layer_by_layer_optimized,nvls,SIMPLE,True,False,1.6831642820034176,114.49510299573562,114.50235251107156,16.060523008
layer_by_layer_optimized,nvls,SIMPLE,True,True,1.6662223179979871,115.02734319866305,115.66659975096601,16.060523008
